event,name,dob,country,time,score,date
0,men's 1500m,Hicham EL GUERROUJ,1974-09-14,MAR,206.12,1301,2001-08-24
1,men's 1500m,Bernard LAGAT,1974-12-12,KEN,206.34,1297,2001-08-24
2,men's 1500m,William CHIRCHIR,1979-02-06,KEN,209.29001,1255,2001-08-24
3,men's 1500m,Ali SAIDI-SIEF,1978-03-15,ALG,209.51,1252,2001-07-04
4,men's 1500m,Rui SILVA,1977-08-03,POR,210.36,1240,2001-07-20
5,men's 1500m,Benjamin KIPKURUI,1980-12-28,KEN,210.67,1235,2001-07-20
6,men's 1500m,José Antonio REDOLAT,1976-02-17,ESP,211.20999,1228,2001-07-17
7,men's 1500m,Enock KOECH,1981-04-04,KEN,211.28,1227,2001-08-17
8,men's 1500m,Laban ROTICH,1969-01-20,KEN,211.38,1225,2001-08-17
9,men's 1500m,Robert RONO,1978-08-16,KEN,211.49,1224,2001-07-20
10,men's 1500m,Driss MAAZOUZI,1969-10-15,FRA,211.54001,1223,2001-08-12
11,men's 1500m,Noah NGENY,1978-11-02,KEN,211.94,1217,2001-06-11
12,men's 1500m,Paul BITOK,1970-06-26,KEN,211.95999,1217,2001-07-17
13,men's 1500m,Mehdi BAALA,1978-08-17,FRA,211.97,1217,2001-07-20
14,men's 1500m,Juan Carlos HIGUERO,1978-08-03,ESP,212.3,1212,2001-08-24
15,men's 1500m,Reyes ESTÉVEZ,1976-08-02,ESP,212.34,1212,2001-08-12
16,men's 1500m,Andrés Manuel DÍAZ,1969-07-12,ESP,212.81,1205,2001-07-17
17,men's 1500m,Gert-Jan LIEFERS,1978-09-26,NED,212.89,1204,2001-08-24
18,men's 1500m,Vyacheslav SHABUNIN,1969-09-27,RUS,213.01,1202,2001-08-24
19,men's 1500m,Mohamed KHALDI,1975-03-05,ALG,213.03,1202,2001-07-02
20,men's 1500m,Abdelkader HACHLAF,1979-07-03,MAR,213.59,1194,2001-08-24
21,men's 1500m,Paul MCMULLEN,1972-02-19,USA,213.89,1190,2001-07-20
22,men's 1500m,Fouad CHOUKI,1978-10-01,FRA,213.89,1190,2001-07-20
23,men's 1500m,Kevin SULLIVAN,1974-03-20,CAN,213.91,1190,2001-07-04
24,men's 1500m,Hudson SANTOS DE SOUZA,1977-02-25,BRA,213.99,1189,2001-07-02
25,men's 1500m,William YIAMPOY,1974-05-17,KEN,214.12,1187,2001-07-04
26,men's 1500m,Benson KOECH,1974-11-10,KEN,214.12,1187,2001-08-17
27,men's 1500m,Luis FEITEIRA,1973-04-21,POR,214.2,1186,2001-07-20
28,men's 1500m,Youssef BABA,1979-08-07,MAR,214.20999,1186,2001-07-04
29,men's 1500m,Salah EL GHAZI,1975-11-02,MAR,214.26,1185,2001-08-26
30,men's 1500m,Seneca LASSITER,1977-03-12,USA,214.32,1184,2001-07-06
31,men's 1500m,Nadir BOSCH,1973-05-16,FRA,214.35,1184,2001-08-17
32,men's 1500m,John MAYOCK,1970-10-26,GBR,214.43,1182,2001-08-24
33,men's 1500m,Cornelius CHIRCHIR,1983-06-05,KEN,214.53,1181,2001-09-02
34,men's 1500m,Mushir Salim JAWHER,1978-06-13,KEN,214.63,1180,2001-07-04
35,men's 1500m,Peter Kipkorir BIWOTT,1976-08-22,KEN,214.81,1177,2001-07-02
36,men's 1500m,Anthony WHITEMAN,1971-11-13,GBR,214.88,1176,2001-08-17
37,men's 1500m,Jürgen VANDEWIELE,1974-05-10,BEL,214.93,1176,2001-08-24
38,men's 1500m,Graham HOOD,1972-04-02,CAN,214.98,1175,2001-07-09
39,men's 1500m,Richard GEEMI,1973-08-23,KEN,215.07,1174,2001-07-14
40,men's 1500m,Mark CARROLL,1972-01-15,IRL,215.09,1173,2001-07-17
41,men's 1500m,Shadrack KORIR,1978-12-14,KEN,215.16,1172,2001-06-11
42,men's 1500m,Frederick CHERUIYOT,1970-09-20,KEN,215.31,1170,2001-07-02
43,men's 1500m,Craig MOTTRAM,1980-06-18,AUS,215.4,1169,2001-09-09
44,men's 1500m,Stephen CHERONO,1982-10-15,KEN,215.47,1168,2001-07-02
45,men's 1500m,Bryan BERRYHILL,1977-12-15,USA,215.48,1168,2001-08-17
46,men's 1500m,Isaac Kiprono SONGOK,1984-04-25,KEN,215.55,1167,2001-08-26
47,men's 1500m,Saïd CHÉBILI,1973-05-06,FRA,215.64,1166,2001-07-06
48,men's 1500m,Alberto GARCÍA,1971-02-22,ESP,215.69,1165,2001-07-07
49,men's 1500m,Peter PHILIPP,1972-02-18,SUI,215.88,1162,2001-06-11
50,men's 1500m,Paul MWANGI,1973-11-19,KEN,215.95,1161,2001-08-26
51,men's 1500m,Andrew GRAFFIN,1977-12-20,GBR,215.97,1161,2001-07-09
52,men's 1500m,Adil KAOUCH,1979-01-01,MAR,216.01,1161,2001-08-10
